SANA;TAITOTASO;Oikea
julkinen;2;1
merkittävä;2;1
tekijä;2;1
kehitys;2;1
varmistaa;2;1
kilpailu;2;1
yhtiö;2;1
luulla;2;1
liike;2;1
pian;2;1
viettää;2;1
väri;2;1
kappale;2;1
toimi;2;1
yhteiskunta;2;1
kerätä;2;1
kuunnella;2;1
olo;2;1
pakko;2;1
hanke;2;1
ohje;2;1
puuttua;2;1
kuolla;2;1
turha;2;1
kansa;2;1
valinta;2;1
mielenkiintoinen;2;1
soittaa;2;1
homma;2;1
varma;2;1
lopettaa;2;1
ympäristö;2;1
esimerkki;2;1
ulos;2;1
selvittää;2;1
paikallinen;2;1
sattua;2;1
vahvistaa;2;1
etu;2;1
vähentää;2;1
kehittyä;2;1
heittää;2;1
esitys;2;1
katsella;2;1
hevonen;2;1
raja;2;1
yhdistää;2;1
valmistaa;2;1
sopiva;2;1
valo;2;1
estää;2;1
sääntö;2;1
jatko;2;1
aikoa;2;1
edistää;2;1
luokka;2;1
ilmainen;2;1
talous;2;1
sydän;2;1
usko;2;1
vastuu;2;1
korjata;2;1
päättyä;2;1
kenttä;2;1
kiinnostaa;2;1
toimittaa;2;1
tavata;2;1
levy;2;1
teko;2;1
pitkään;2;1
johtaja;2;1
lupa;2;1
ohjata;2;1
asunto;2;1
tehokas;2;1
kasvu;2;1
maali;2;1
esitellä;2;1
teos;2;1
edellyttää;2;1
merkitä;2;1
vaate;2;1
pidetä;2;1
puu;2;1
menettää;2;1
suu;2;1
ihme;2;1
painaa;2;1
hyödyntää;2;1
myötä;2;1
kohdata;2;1
yhdistys;2;1
aikuinen;2;1
vieras;2;1
tilata;2;1
ilmestyä;2;1
kantaa;2;1
kisa;2;1
yhteisö;2;1
pöytä;2;1
työskennellä;2;1
väärä;2;1
selvitä;2;1
rakastaa;2;1
sota;2;1
myynti;2;1
periaate;2;1
työpaikka;2;1
laji;2;1
rakkaus;2;1
tarkka;2;1
säätää;2;1
edetä;2;1
opetus;2;1
keskustella;2;1
suunnitelma;2;1
kattaa;2;1
päätyä;2;1
talvi;2;1
paino;2;1
loppua;2;1
noudattaa;2;1
keskusta;2;1
keskeinen;2;1
opettaa;2;1
taito;2;1
tajuta;2;1
väittää;2;1
verkko;2;1
kiinnostua;2;1
keino;2;1
avoin;2;1
täydellinen;2;1
kieltää;2;1
pohtia;2;1
hius;2;1
unohtaa;2;1
haaste;2;1
vihreä;2;1
rakennus;2;1
eläin;2;1
puhe;2;1
riittävä;2;1
poliittinen;2;1
kokous;2;1
havaita;2;1
soveltaa;2;1
iho;2;1
yhteensä;2;1
kirjoitus;2;1
ehdottaa;2;1
metsä;2;1
valkoinen;2;1
osoite;2;1
alkuperäinen;2;1
ilo;2;1
taloudellinen;2;1
tavara;2;1
näkökulma;2;1
osuus;2;1
muodostaa;2;1
huoli;2;1
luonto;2;1
ihmetellä;2;1
tarkistaa;2;1
keksiä;2;1
aikainen;2;1
johto;2;1
rooli;2;1
tyyli;2;1
oppilas;2;1
suora;2;1
virhe;2;1
punainen;2;1
valmistua;2;1
etenkin;2;1
kiinnittää;2;1
puhelin;2;1
varata;2;1
tyytyväinen;2;1
kaivata;2;1
ilma;2;1
kunto;2;1
muistuttaa;2;1
halpa;2;1
lista;2;1
linja;2;1
asukas;2;1
seuraus;2;1
riippua;2;1
käynti;2;1
kääntää;2;1
edustaa;2;1
vara;2;1
tilaisuus;2;1
kuolema;2;1
hyöty;2;1
tahtoa;2;1
kustannus;2;1
kansalainen;2;1
vauhti;2;1
omistaja;2;1
kylmä;2;1
herätä;2;1
samanlainen;2;1
aste;2;1
rakenne;2;1
tunnistaa;2;1
kuvitella;2;1
kääntyä;2;1
tausta;2;1
rauha;2;1
kärsiä;2;1
potilas;2;1
lähde;2;1
puolue;2;1
hahmo;2;1
vaihdella;2;1
omistaa;2;1
ratkaista;2;1
lisääntyä;2;1
selkä;2;1
lämmin;2;1
liitto;2;1
määrätä;2;1
sulkea;2;1
pyhä;2;1
upea;2;1
välittää;2;1
täysi;2;1
kallis;2;1
suunnata;2;1
koota;2;1
määritellä;2;1
arki;2;1
luvata;2;1
tekniikka;2;1
tuotanto;2;1
säilyttää;2;1
piha;2;1
muodostua;2;1
kadota;2;1
hallita;2;1
herättää;2;1
ansio;2;1
totuus;2;1
liikenne;2;1
sijoittaa;2;1
raskas;2;1
porukka;2;1
tarjolla;2;1
seinä;2;1
vaatimus;2;1
kanta;2;1
pistää;2;1
selittää;2;1
ura;2;1
taivas;2;1
puhdas;2;1
ammattilainen;2;1
korvata;2;1
terveys;2;1
maksu;2;1
ikinä;2;1
ranta;2;1
yksityinen;2;1
kasvattaa;2;1
heikko;2;1
erinomainen;2;1
lääke;2;1
yleisö;2;1
markkinat;2;1
yksittäinen;2;1
opiskella;2;1
uskaltaa;2;1
huolehtia;2;1
valta;2;1
onni;2;1
viitata;2;1
mahdollistaa;2;1
aurinko;2;1
mahtua;2;1
todellisuus;2;1
hankala;2;1
riski;2;1
selkeä;2;1
sairaus;2;1
palkka;2;1
reilu;2;1
kyetä;2;1
tuore;2;1
kunnolla;2;1
kirjasto;2;1
kommentoida;2;1
pinta;2;1
kylä;2;1
arvostaa;2;1
laatia;2;1
hävitä;2;1
piiri;2;1
helpottaa;2;1
mahtava;2;1
tunnettu;2;1
positiivinen;2;1
turvallinen;2;1
kuulostaa;2;1
käsitys;2;1
sallia;2;1
kansallinen;2;1
ryhtyä;2;1
käsittely;2;1
uni;2;1
talli;2;1
tutkija;2;1
otsikko;2;1
pyöriä;2;1
vika;2;1
keho;2;1
ikkuna;2;1
suhtautua;2;1
toteutua;2;1
vahinko;2;1
asentaa;2;1
vaimo;2;1
tarttua;2;1
päässä;2;1
tarkastella;2;1
maku;2;1
näkemys;2;1
korostaa;2;1
lähtö;2;1
voimakas;2;1
kirjo;2;1
ladata;2;1
lyödä;2;1
aine;2;1
epäillä;2;1
palauttaa;2;1
virallinen;2;1
asetus;2;1
este;2;1
ehto;2;1
kevyt;2;1
rata;2;1
tappaa;2;1
välttää;2;1
sujua;2;1
terve;2;1
vakava;2;1
luottaa;2;1
tunnelma;2;1
perustella;2;1
luonne;2;1
korva;2;1
taata;2;1
leikata;2;1
osua;2;1
teema;2;1
sanoma;2;1
näyttö;2;1
monipuolinen;2;1
loma;2;1
kyky;2;1
politiikka;2;1
tyhjä;2;1
järjestö;2;1
erä;2;1
luopua;2;1
yrittäjä;2;1
ote;2;1
arvio;2;1
olettaa;2;1
kierros;2;1
paketti;2;1
laitos;2;1
kuvaus;2;1
katse;2;1
tiukka;2;1
luotettava;2;1
yksilö;2;1
lasku;2;1
tähti;2;1
laadukas;2;1
valtava;2;1
menetelmä;2;1
iskeä;2;1
jakso;2;1
lento;2;1
irti;2;1
tyyppi;2;1
testata;2;1
paikko;2;1
eduskunta;2;1
seisoa;2;1
meinata;2;1
liittää;2;1
ehdotus;2;1
yllättää;2;1
veri;2;1
kiertää;2;1
palvella;2;1
tarjous;2;1
anku;2;2
ailottaa;2;2
avinto;2;2
ankki;2;2
alpistua;2;2
ahkunen;2;2
ahottaa;2;2
erkile;2;2
ehky;2;2
erppi;2;2
epeä;2;2
emätä;2;2
elpeä;2;2
empyä;2;2
elaisa;2;2
emppinen;2;2
ehkeä;2;2
epistyä;2;2
huosa;2;2
huomi;2;2
hopista;2;2
hetinen;2;2
hiuttaa;2;2
herkki;2;2
hälettää;2;2
hönähtää;2;2
hynttilä;2;2
holppea;2;2
hulpata;2;2
hymppi;2;2
härpeä;2;2
häsehtiä;2;2
hoikko;2;2
harssi;2;2
inkelö;2;2
itsattaa;2;2
idettää;2;2
ituilla;2;2
ipeä;2;2
itsettyä;2;2
innonta;2;2
irroton;2;2
ihartaa;2;2
jasto;2;2
joluisa;2;2
jetsata;2;2
japale;2;2
jyntti;2;2
jynne;2;2
jykinä;2;2
jäkiö;2;2
javetti;2;2
jaukua;2;2
janava;2;2
jamppeli;2;2
kiirteinen;2;2
kaistua;2;2
koppilas;2;2
käystö;2;2
kiihellä;2;2
kivertää;2;2
kaupalo;2;2
kisto;2;2
kurkko;2;2
kurostaa;2;2
kihva;2;2
kuntteli;2;2
kuhjo ;2;2
kervettää;2;2
kävettää;2;2
kimettää;2;2
kerhi;2;2
kötellä;2;2
kötys;2;2
lopikko;2;2
luhimo;2;2
laihea;2;2
lohkanen;2;2
lasea;2;2
lampio;2;2
läipäre;2;2
luohi;2;2
lavinen;2;2
läännyttää;2;2
laimu;2;2
laamata;2;2
muntti;2;2
melinä;2;2
mehisevä;2;2
maskio;2;2
maveltaa;2;2
maheli;2;2
marri;2;2
mehikäinen;2;2
mede;2;2
minkua;2;2
myhtyä;2;2
marelli;2;2
miisto;2;2
milkonen;2;2
myrehtiä;2;2
mälkä;2;2
mustelo;2;2
mengeltää;2;2
näpinä;2;2
noleilla;2;2
neskahtaa;2;2
närttiö;2;2
nopina;2;2
nerviö;2;2
nojittaa;2;2
nohelma;2;2
naste;2;2
nasehtaa;2;2
noppuinen;2;2
nurha;2;2
nuovi;2;2
nuhkoinen;2;2
näyskiä;2;2
nätty;2;2
nöperö;2;2
nuuhtia;2;2
nuuhka;2;2
onkale;2;2
oskistua;2;2
olamo;2;2
orppu;2;2
ohtu;2;2
ohuttaa;2;2
oikistua;2;2
olenne;2;2
onkaista;2;2
ohkea;2;2
omistua;2;2
ontukka;2;2
opike;2;2
pulottaa;2;2
pudisto;2;2
polkuttaa;2;2
pauhi;2;2
paariutua;2;2
pankala;2;2
pastikko;2;2
paulikka;2;2
partehinen;2;2
paninomainen;2;2
ruonto;2;2
rammisto;2;2
rahistua;2;2
ronkalo;2;2
rupponen;2;2
riipintä;2;2
riusta;2;2
rungonta;2;2
rungota;2;2
sangota;2;2
salppi;2;2
sadoittua;2;2
sahtava;2;2
saarakki;2;2
sirkko ;2;2
suuntoisa;2;2
saanto;2;2
sarkattaa;2;2
suristuttaa;2;2
saulaton;2;2
sarppaaja;2;2
sirvikäs;2;2
sintukka;2;2
sauhoittaa;2;2
sulanne;2;2
taastuttaa;2;2
torkkuri;2;2
toimeuttaa;2;2
tikottaa;2;2
uuras;2;2
umme;2;2
ulkoisa;2;2
uhistus;2;2
vaikunta;2;2
vilkkaantua;2;2
viippoisa;2;2
voitonta;2;2
vuonti;2;2
vuoda;2;2
vorskua;2;2
vaiheisto;2;2
varaistua;2;2
viekale;2;2
voikunta;2;2
valinto;2;2
velppi;2;2
varokas;2;2
vieheisä;2;2
vihentyä ;2;2
vanhoittaa;2;2
vankuttaa;2;2
voihku;2;2
